YEAR,MONTH,CHANNEL,Spend,Total_Returns,Total_Revenue,Orders_Existing,Customers_Existing,Orders_New,Customers_New
2024,JANUARY,Affiliate,0.0,-61116.9,1397391.57,116.0,0.0,0.0,0.0
2024,JANUARY,Direct,0.0,-61116.9,1397391.57,793.0,0.0,800.0,0.0
2024,JANUARY,Display,0.0,-61116.9,1397391.57,0.0,58.0,0.0,24.0
2024,JANUARY,Email,0.0,-61116.9,1397391.57,1158.0,0.0,271.0,0.0
2024,JANUARY,Organic Search,0.0,-61116.9,1397391.57,382.0,0.0,682.0,0.0
2024,JANUARY,Organic Social,0.0,-61116.9,1397391.57,13.0,0.0,31.0,0.0
2024,JANUARY,Other,0.0,-61116.9,1397391.57,769.0,0.0,801.0,0.0
2024,JANUARY,Paid Search,0.0,-61116.9,1397391.57,1041.0,0.0,0.0,0.0
2024,JANUARY,Paid Social,0.0,-61116.9,1397391.57,282.0,0.0,0.0,0.0
2024,JANUARY,SMS,0.0,-61116.9,1397391.57,218.0,0.0,68.0,0.0
2024,JANUARY,Unattributed,0.0,-61116.9,1397391.57,345.0,0.0,224.0,0.0
2024,FEBRUARY,Affiliate,0.0,-46543.44,1433061.78,100.0,0.0,0.0,0.0
2024,FEBRUARY,Direct,0.0,-46543.44,1433061.78,708.0,0.0,534.0,0.0
2024,FEBRUARY,Display,0.0,-46543.44,1433061.78,0.0,18.0,0.0,13.0
2024,FEBRUARY,Email,0.0,-46543.44,1433061.78,1401.0,0.0,236.0,0.0
2024,FEBRUARY,Organic Search,0.0,-46543.44,1433061.78,343.0,0.0,568.0,0.0
2024,FEBRUARY,Organic Social,0.0,-46543.44,1433061.78,12.0,0.0,21.0,0.0
2024,FEBRUARY,Other,0.0,-46543.44,1433061.78,579.0,0.0,573.0,0.0
2024,FEBRUARY,Paid Search,0.0,-46543.44,1433061.78,968.0,0.0,0.0,0.0
2024,FEBRUARY,Paid Social,0.0,-46543.44,1433061.78,220.0,0.0,0.0,0.0
2024,FEBRUARY,SMS,0.0,-46543.44,1433061.78,136.0,0.0,29.0,0.0
2024,FEBRUARY,Unattributed,0.0,-46543.44,1433061.78,255.0,0.0,113.0,0.0
2024,MARCH,Affiliate,0.0,-50138.12,1395189.1,132.0,0.0,0.0,0.0
2024,MARCH,Direct,0.0,-50138.12,1395189.1,981.0,0.0,593.0,0.0
2024,MARCH,Email,0.0,-50138.12,1395189.1,1909.0,0.0,420.0,0.0
2024,MARCH,Organic Search,0.0,-50138.12,1395189.1,313.0,0.0,532.0,0.0
2024,MARCH,Organic Social,0.0,-50138.12,1395189.1,9.0,0.0,18.0,0.0
2024,MARCH,Other,0.0,-50138.12,1395189.1,589.0,0.0,528.0,0.0
2024,MARCH,Paid Search,0.0,-50138.12,1395189.1,978.0,0.0,0.0,0.0
2024,MARCH,Paid Social,0.0,-50138.12,1395189.1,233.0,0.0,0.0,0.0
2024,MARCH,SMS,0.0,-50138.12,1395189.1,258.0,0.0,66.0,0.0
2024,MARCH,Unattributed,0.0,-50138.12,1395189.1,233.0,0.0,125.0,0.0
2024,APRIL,Affiliate,0.0,-42238.03,1540391.74,140.0,0.0,0.0,0.0
2024,APRIL,Direct,0.0,-42238.03,1540391.74,757.0,0.0,603.0,0.0
2024,APRIL,Email,0.0,-42238.03,1540391.74,1603.0,0.0,388.0,0.0
2024,APRIL,Organic Search,0.0,-42238.03,1540391.74,368.0,0.0,595.0,0.0
2024,APRIL,Organic Social,0.0,-42238.03,1540391.74,18.0,0.0,18.0,0.0
2024,APRIL,Other,0.0,-42238.03,1540391.74,658.0,0.0,566.0,0.0
2024,APRIL,Paid Search,0.0,-42238.03,1540391.74,1101.0,0.0,0.0,0.0
2024,APRIL,Paid Social,0.0,-42238.03,1540391.74,312.0,0.0,0.0,0.0
2024,APRIL,SMS,0.0,-42238.03,1540391.74,231.0,0.0,42.0,0.0
2024,APRIL,Unattributed,0.0,-42238.03,1540391.74,226.0,0.0,117.0,0.0
2024,MAY,Affiliate,0.0,-53802.15,2233297.55,226.0,0.0,0.0,0.0
2024,MAY,Direct,0.0,-53802.15,2233297.55,1261.0,0.0,1267.0,0.0
2024,MAY,Email,0.0,-53802.15,2233297.55,2456.0,0.0,523.0,0.0
2024,MAY,Organic Search,0.0,-53802.15,2233297.55,409.0,0.0,763.0,0.0
2024,MAY,Organic Social,0.0,-53802.15,2233297.55,28.0,0.0,27.0,0.0
2024,MAY,Other,0.0,-53802.15,2233297.55,924.0,0.0,831.0,0.0
2024,MAY,Paid Search,0.0,-53802.15,2233297.55,1276.0,0.0,0.0,0.0
2024,MAY,Paid Social,0.0,-53802.15,2233297.55,828.0,0.0,0.0,0.0
2024,MAY,SMS,0.0,-53802.15,2233297.55,500.0,0.0,162.0,0.0
2024,MAY,Unattributed,0.0,-53802.15,2233297.55,261.0,0.0,155.0,0.0
2024,JUNE,Affiliate,0.0,-51017.6,1459465.38,123.0,0.0,0.0,0.0
2024,JUNE,Direct,0.0,-51017.6,1459465.38,775.0,0.0,604.0,0.0
2024,JUNE,Email,0.0,-51017.6,1459465.38,1335.0,0.0,218.0,0.0
2024,JUNE,Organic Search,0.0,-51017.6,1459465.38,341.0,0.0,531.0,0.0
2024,JUNE,Organic Social,0.0,-51017.6,1459465.38,13.0,0.0,18.0,0.0
2024,JUNE,Other,0.0,-51017.6,1459465.38,607.0,0.0,587.0,0.0
2024,JUNE,Paid Search,0.0,-51017.6,1459465.38,942.0,0.0,0.0,0.0
2024,JUNE,Paid Social,0.0,-51017.6,1459465.38,443.0,0.0,0.0,0.0
2024,JUNE,SMS,0.0,-51017.6,1459465.38,239.0,0.0,125.0,0.0
2024,JUNE,Unattributed,0.0,-51017.6,1459465.38,296.0,0.0,221.0,0.0
2024,JULY,Affiliate,0.0,-46815.46,1461043.1,120.0,0.0,0.0,0.0
2024,JULY,Direct,0.0,-46815.46,1461043.1,787.0,0.0,690.0,0.0
2024,JULY,Email,0.0,-46815.46,1461043.1,1093.0,0.0,151.0,0.0
2024,JULY,Organic Search,0.0,-46815.46,1461043.1,338.0,0.0,533.0,0.0
2024,JULY,Organic Social,0.0,-46815.46,1461043.1,5.0,0.0,28.0,0.0
2024,JULY,Other,0.0,-46815.46,1461043.1,498.0,0.0,513.0,0.0
2024,JULY,Paid Search,0.0,-46815.46,1461043.1,951.0,0.0,0.0,0.0
2024,JULY,Paid Social,0.0,-46815.46,1461043.1,406.0,0.0,0.0,0.0
2024,JULY,SMS,0.0,-46815.46,1461043.1,181.0,0.0,167.0,0.0
2024,JULY,Unattributed,0.0,-46815.46,1461043.1,248.0,0.0,192.0,0.0
2024,AUGUST,Affiliate,0.0,-35156.1,1986739.46,155.0,0.0,0.0,0.0
2024,AUGUST,Direct,0.0,-35156.1,1986739.46,928.0,0.0,672.0,0.0
2024,AUGUST,Email,0.0,-35156.1,1986739.46,1537.0,0.0,232.0,0.0
2024,AUGUST,Organic Search,0.0,-35156.1,1986739.46,393.0,0.0,579.0,0.0
2024,AUGUST,Organic Social,0.0,-35156.1,1986739.46,24.0,0.0,17.0,0.0
2024,AUGUST,Other,0.0,-35156.1,1986739.46,509.0,0.0,476.0,0.0
2024,AUGUST,Paid Search,0.0,-35156.1,1986739.46,1215.0,0.0,0.0,0.0
2024,AUGUST,Paid Social,0.0,-35156.1,1986739.46,708.0,0.0,0.0,0.0
2024,AUGUST,SMS,0.0,-35156.1,1986739.46,269.0,0.0,181.0,0.0
2024,AUGUST,Unattributed,0.0,-35156.1,1986739.46,264.0,0.0,118.0,0.0
2025,JANUARY,Affiliate,25853.0,0.0,0.0,0.0,140.0,0.0,149.0
2025,JANUARY,Affiliate Agency,6458.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JANUARY,Direct,0.0,0.0,0.0,0.0,704.0,0.0,742.0
2025,JANUARY,Email,0.0,0.0,0.0,0.0,1159.0,0.0,289.0
2025,JANUARY,Organic Search,0.0,0.0,0.0,0.0,513.0,0.0,766.0
2025,JANUARY,Organic Social,0.0,0.0,0.0,0.0,10.0,0.0,18.0
2025,JANUARY,Other,0.0,0.0,0.0,0.0,508.0,0.0,587.0
2025,JANUARY,Paid Search,52392.0,0.0,0.0,0.0,1252.0,0.0,1405.0
2025,JANUARY,Paid Search Agency,6063.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JANUARY,Paid Social,110665.0,0.0,0.0,0.0,410.0,0.0,534.0
2025,JANUARY,Paid Social Agency,12807.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JANUARY,SMS,0.0,0.0,0.0,0.0,192.0,0.0,89.0
2025,JANUARY,TOTAL,188910.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JANUARY,TOTAL Agency,25328.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JANUARY,Unattributed,0.0,0.0,0.0,0.0,332.0,0.0,240.0
2025,FEBRUARY,Affiliate,10886.0,0.0,0.0,0.0,112.0,0.0,130.0
2025,FEBRUARY,Affiliate Agency,5597.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,FEBRUARY,Direct,0.0,0.0,0.0,0.0,492.0,0.0,558.0
2025,FEBRUARY,Email,0.0,0.0,0.0,0.0,813.0,0.0,247.0
2025,FEBRUARY,Organic Search,0.0,0.0,0.0,0.0,428.0,0.0,626.0
2025,FEBRUARY,Organic Social,0.0,0.0,0.0,0.0,10.0,0.0,22.0
2025,FEBRUARY,Other,0.0,0.0,0.0,0.0,359.0,0.0,476.0
2025,FEBRUARY,Paid Search,53764.0,0.0,0.0,0.0,980.0,0.0,1169.0
2025,FEBRUARY,Paid Search Agency,6874.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,FEBRUARY,Paid Social,93826.0,0.0,0.0,0.0,306.0,0.0,380.0
2025,FEBRUARY,Paid Social Agency,11996.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,FEBRUARY,SMS,0.0,0.0,0.0,0.0,156.0,0.0,83.0
2025,FEBRUARY,TOTAL,158476.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,FEBRUARY,TOTAL Agency,24467.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,FEBRUARY,Unattributed,0.0,0.0,0.0,0.0,232.0,0.0,202.0
2025,MARCH,Affiliate,12631.0,0.0,0.0,0.0,166.0,0.0,168.0
2025,MARCH,Affiliate Agency,6222.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,Direct,0.0,0.0,0.0,0.0,692.0,0.0,639.0
2025,MARCH,Email,0.0,0.0,0.0,0.0,1219.0,0.0,290.0
2025,MARCH,Organic Search,0.0,0.0,0.0,0.0,416.0,0.0,460.0
2025,MARCH,Organic Social,0.0,0.0,0.0,0.0,13.0,0.0,20.0
2025,MARCH,Other,0.0,0.0,0.0,0.0,766.0,0.0,753.0
2025,MARCH,Paid Search,76624.0,0.0,0.0,0.0,1264.0,0.0,1433.0
2025,MARCH,Paid Search Agency,8192.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,Paid Social,153218.0,0.0,0.0,0.0,553.0,0.0,836.0
2025,MARCH,Paid Social Agency,16380.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,SMS,0.0,0.0,0.0,0.0,195.0,0.0,85.0
2025,MARCH,TOTAL,242473.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,TOTAL Agency,30794.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MARCH,Unattributed,0.0,0.0,0.0,0.0,315.0,0.0,148.0
2025,APRIL,Affiliate,13265.0,0.0,0.0,0.0,172.0,0.0,128.0
2025,APRIL,Affiliate Agency,6460.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,Direct,0.0,0.0,0.0,0.0,684.0,0.0,538.0
2025,APRIL,Email,0.0,0.0,0.0,0.0,1637.0,0.0,345.0
2025,APRIL,Organic Search,0.0,0.0,0.0,0.0,501.0,0.0,455.0
2025,APRIL,Organic Social,0.0,0.0,0.0,0.0,16.0,0.0,12.0
2025,APRIL,Other,0.0,0.0,0.0,0.0,466.0,0.0,400.0
2025,APRIL,Paid Search,80616.0,0.0,0.0,0.0,1364.0,0.0,1322.0
2025,APRIL,Paid Search Agency,8339.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,Paid Social,151295.0,0.0,0.0,0.0,550.0,0.0,634.0
2025,APRIL,Paid Social Agency,15651.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,SMS,0.0,0.0,0.0,0.0,214.0,0.0,66.0
2025,APRIL,TOTAL,245176.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,TOTAL Agency,30450.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,APRIL,Unattributed,0.0,0.0,0.0,0.0,264.0,0.0,104.0
2025,MAY,Affiliate,18461.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Affiliate Agency,8978.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Paid Search,79749.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Paid Search Agency,7501.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Paid Social,238355.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,Paid Social Agency,22418.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,TOTAL,336565.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,MAY,TOTAL Agency,38897.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JUNE,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JUNE,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JULY,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,JULY,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,AUGUST,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,AUGUST,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,SEPTEMBER,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,SEPTEMBER,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,OCTOBER,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,OCTOBER,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,NOVEMBER,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,NOVEMBER,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,DECEMBER,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,DECEMBER,TOTAL Agency,0.0,0.0,0.0,0.0,0.0,0.0,0.0
