YEAR,MONTH,CHANNEL,Sessions,Clicks,Orders,Customers,Total_Returns,Spend,Technology_Spend,Total_Revenue
2023,JANUARY,Affiliates,15000.0,3000.0,120.0,114.0,25432.21,0.0,15000.0,968195.0
2023,JANUARY,Paid Search,95000.0,19000.0,765.0,734.0,25432.21,0.0,15000.0,968195.0
2023,JANUARY,Paid Social,18000.0,3600.0,124.0,118.0,25432.21,0.0,15000.0,968195.0
2023,FEBRUARY,Affiliates,16000.0,3200.0,128.0,122.0,21987.43,0.0,15000.0,784298.0
2023,FEBRUARY,Paid Search,70000.0,14000.0,550.0,524.0,21987.43,0.0,15000.0,784298.0
2023,FEBRUARY,Paid Social,15000.0,3000.0,106.0,101.0,21987.43,0.0,15000.0,784298.0
2023,MARCH,Affiliates,17000.0,3400.0,138.0,132.0,28711.23,0.0,15000.0,1118958.0
2023,MARCH,Paid Search,45000.0,9000.0,274.0,259.0,28711.23,0.0,15000.0,1118958.0
2023,MARCH,Paid Social,16000.0,3200.0,104.0,99.0,28711.23,0.0,15000.0,1118958.0
2023,APRIL,Affiliates,18000.0,3600.0,144.0,137.0,21874.92,0.0,15000.0,892836.0
2023,APRIL,Paid Search,50000.0,10000.0,319.0,302.0,21874.92,0.0,15000.0,892836.0
2023,APRIL,Paid Social,14000.0,2800.0,100.0,95.0,21874.92,0.0,15000.0,892836.0
2023,MAY,Affiliates,17500.0,3500.0,138.0,131.0,46321.87,0.0,15000.0,1702721.0
2023,MAY,Paid Search,120000.0,24000.0,1084.0,1036.0,46321.87,0.0,15000.0,1702721.0
2023,MAY,Paid Social,15500.0,3100.0,100.0,95.0,46321.87,0.0,15000.0,1702721.0
2023,JUNE,Affiliates,17000.0,3400.0,138.0,131.0,21234.54,0.0,15000.0,864458.0
2023,JUNE,Paid Search,90000.0,18000.0,774.0,735.0,21234.54,0.0,15000.0,864458.0
2023,JUNE,Paid Social,14500.0,2900.0,100.0,95.0,21234.54,0.0,15000.0,864458.0
2023,JULY,Affiliates,18000.0,3600.0,138.0,131.0,28765.98,0.0,15000.0,1036750.0
2023,JULY,Paid Search,110000.0,22000.0,937.0,891.0,28765.98,0.0,15000.0,1036750.0
2023,JULY,Paid Social,16000.0,3200.0,100.0,95.0,28765.98,0.0,15000.0,1036750.0
2023,AUGUST,Affiliates,18000.0,3600.0,138.0,131.0,24387.65,0.0,15000.0,991799.0
2023,AUGUST,Paid Search,125000.0,25000.0,1079.0,1024.0,24387.65,0.0,15000.0,991799.0
2023,AUGUST,Paid Social,16500.0,3300.0,100.0,95.0,24387.65,0.0,15000.0,991799.0
2023,SEPTEMBER,Affiliates,19000.0,3800.0,138.0,131.0,31245.76,0.0,15000.0,1182469.0
2023,SEPTEMBER,Paid Search,130000.0,26000.0,1050.0,996.0,31245.76,0.0,15000.0,1182469.0
2023,SEPTEMBER,Paid Social,17000.0,3400.0,100.0,95.0,31245.76,0.0,15000.0,1182469.0
2023,OCTOBER,Affiliates,18500.0,3700.0,138.0,131.0,22876.54,0.0,15000.0,917970.0
2023,OCTOBER,Paid Search,100000.0,20000.0,779.0,739.0,22876.54,0.0,15000.0,917970.0
2023,OCTOBER,Paid Social,16000.0,3200.0,100.0,95.0,22876.54,0.0,15000.0,917970.0
2023,NOVEMBER,Affiliates,20000.0,4000.0,138.0,131.0,71234.87,0.0,15000.0,2544000.0
2023,NOVEMBER,Paid Search,280000.0,56000.0,2518.0,2393.0,71234.87,0.0,15000.0,2544000.0
2023,NOVEMBER,Paid Social,25000.0,5000.0,100.0,95.0,71234.87,0.0,15000.0,2544000.0
2023,DECEMBER,Affiliates,22000.0,4400.0,138.0,131.0,43218.98,0.0,15000.0,1595092.0
2023,DECEMBER,Paid Search,200000.0,40000.0,1734.0,1647.0,43218.98,0.0,15000.0,1595092.0
2023,DECEMBER,Paid Social,28000.0,5600.0,100.0,95.0,43218.98,0.0,15000.0,1595092.0
2024,JANUARY,Affiliates,16000.0,3200.0,0.0,0.0,25432.21,0.0,0.0,957701.42
2024,JANUARY,Paid Search,115000.0,23000.0,1041.0,1010.0,25432.21,33131.2,0.0,957701.42
2024,JANUARY,Paid Social,20000.0,4000.0,0.0,0.0,25432.21,0.0,0.0,957701.42
2024,FEBRUARY,Affiliates,15000.0,3000.0,0.0,0.0,21987.43,0.0,0.0,954880.12
2024,FEBRUARY,Paid Search,110000.0,22000.0,968.0,932.0,21987.43,31642.31,0.0,954880.12
2024,FEBRUARY,Paid Social,18000.0,3600.0,0.0,0.0,21987.43,0.0,0.0,954880.12
2024,MARCH,Affiliates,16000.0,3200.0,0.0,0.0,28711.23,0.0,0.0,975023.84
2024,MARCH,Paid Search,112000.0,22400.0,978.0,935.0,28711.23,31725.23,0.0,975023.84
2024,MARCH,Paid Social,19000.0,3800.0,0.0,0.0,28711.23,0.0,0.0,975023.84
2024,APRIL,Affiliates,17000.0,3400.0,0.0,0.0,21874.92,0.0,0.0,1090895.52
2024,APRIL,Paid Search,120000.0,24000.0,1101.0,1060.0,21874.92,32933.83,0.0,1090895.52
2024,APRIL,Paid Social,20000.0,4000.0,0.0,0.0,21874.92,0.0,0.0,1090895.52
2024,MAY,Affiliates,18000.0,3600.0,0.0,0.0,46321.87,0.0,0.0,1516157.7
2024,MAY,Paid Search,130000.0,26000.0,1276.0,1232.0,46321.87,48251.61,0.0,1516157.7
2024,MAY,Paid Social,22000.0,4400.0,0.0,0.0,46321.87,0.0,0.0,1516157.7
2024,JUNE,Affiliates,16000.0,3200.0,0.0,0.0,21234.54,0.0,0.0,1011701.99
2024,JUNE,Paid Search,105000.0,21000.0,942.0,916.0,21234.54,41934.92,0.0,1011701.99
2024,JUNE,Paid Social,18000.0,3600.0,0.0,0.0,21234.54,0.0,0.0,1011701.99
2024,JULY,Affiliates,17000.0,3400.0,0.0,0.0,28765.98,0.0,0.0,948311.9
2024,JULY,Paid Search,110000.0,22000.0,951.0,901.0,28765.98,56408.21,0.0,948311.9
2024,JULY,Paid Social,19000.0,3800.0,0.0,0.0,28765.98,0.0,0.0,948311.9
2024,AUGUST,Affiliates,18000.0,3600.0,0.0,0.0,24387.65,0.0,0.0,1128109.82
2024,AUGUST,Paid Search,125000.0,25000.0,1215.0,1173.0,24387.65,65506.0,0.0,1128109.82
2024,AUGUST,Paid Social,21000.0,4200.0,0.0,0.0,24387.65,0.0,0.0,1128109.82
2024,SEPTEMBER,Paid Search,130000.0,26000.0,0.0,1083.0,31245.76,51646.0,0.0,958710.51
2024,OCTOBER,Paid Search,140000.0,28000.0,0.0,1095.0,22876.54,68150.0,0.0,985807.41
2024,NOVEMBER,Paid Search,200000.0,40000.0,0.0,1986.0,71234.87,88112.0,0.0,1764492.45
2024,DECEMBER,Paid Search,220000.0,44000.0,0.0,2220.0,43218.98,92682.0,0.0,2345488.27
2025,JANUARY,Paid Search,0.0,0.0,0.0,0.0,0.0,52392.0,0.0,1079835.87
2025,FEBRUARY,Paid Search,0.0,0.0,0.0,0.0,0.0,53764.0,0.0,876298.03
2025,MARCH,Paid Search,0.0,0.0,0.0,0.0,0.0,76624.0,0.0,1159321.11
2025,APRIL,Paid Search,0.0,0.0,0.0,0.0,0.0,80616.0,0.0,1214502.58
2025,MAY,Paid Search,0.0,0.0,0.0,0.0,0.0,79749.0,0.0,1618042.01
